Timestamp,Rank (1st: Most Important ;  5th: Least Important) [1st Choice],Rank (1st: Most Important ;  5th: Least Important) [2nd Choice],Rank (1st: Most Important ;  5th: Least Important) [3rd Choice],Rank (1st: Most Important ;  5th: Least Important) [4th Choice],Rank (1st: Most Important ;  5th: Least Important) [5th Choice]
2021/04/10 5:41:21 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Age of Flat,Distance to City Centre (Orchard),Distance to Mall
2021/04/10 5:42:10 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to City Centre (Orchard),Distance to Mall,Distance to Hawker Centre
2021/04/10 5:44:10 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to City Centre (Orchard),Distance to Mall,Distance to Hawker Centre
2021/04/10 6:13:28 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 6:14:57 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 6:46:05 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 6:58:49 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to City Centre (Orchard),Age of Flat,Distance to Mall
2021/04/10 7:03:27 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre,Age of Flat
2021/04/10 7:17:19 PM GMT+8,Age of Flat,Distance to Hawker Centre,Distance to Mall,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard)
2021/04/10 7:54:19 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 8:28:33 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre
2021/04/10 9:07:45 PM GMT+8,Distance to City Centre (Orchard),Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Age of Flat
2021/04/10 10:27:44 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Age of Flat,Distance to City Centre (Orchard)
2021/04/11 12:30:58 AM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/11 10:16:19 AM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Age of Flat,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/11 10:17:47 AM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Age of Flat,Distance to Mall,Distance to City Centre (Orchard)
2021/04/11 2:47:18 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre,Age of Flat
2021/04/13 8:17:51 AM GMT+8,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall,Age of Flat
2021/04/16 1:32:33 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/17 5:44:17 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to City Centre (Orchard),Distance to Mall
2021/04/19 9:35:35 AM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Age of Flat,Distance to Mall,Distance to City Centre (Orchard)
2021/04/19 9:35:45 AM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Age of Flat,Distance to Mall,Distance to City Centre (Orchard)
