Shopping_Malls,latitude,longitude,full_address
ION Orchard Singapore,1.304730948,103.8314655,2 ORCHARD TURN UOB ION ORCHARD SINGAPORE 238801
Junction 8    Singapore ,1.350182003,103.8485157,9 BISHAN PLACE CITIBANK BISHAN JUNCTION 8 SINGAPORE 579837
Knightsbridge    Singapore ,1.30310526,103.836202,270 ORCHARD ROAD CIMB BANK BERHAD KNIGHTSBRIDGE SINGAPORE 238857
Liat   Towers    Singapore ,1.30510759,103.8307279,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881
Lucky   Plaza    Singapore ,1.30446379,103.8340052,304 ORCHARD ROAD UOB LUCKY PLAZA SINGAPORE 238863
Marina   Bay   Sands    Singapore ,1.283577958,103.8607144,1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE SINGAPORE 018971
The    Shoppes at    Marina    Bay    Sands    Singapore ,1.28423496,103.8589823,2A BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018958
Marina   Bay   Link   Mall    Singapore ,1.280195333,103.8542077,8 MARINA BOULEVARD DBS MARINA BAY LINK MALL SINGAPORE 018981
Marina   One    Singapore ,1.282253318,103.8525921,1 MARINA BOULEVARD ONE MARINA BOULEVARD SINGAPORE 018989
Marina   Square    Singapore ,1.290971999,103.8575754,6 RAFFLES BOULEVARD UOB MARINA SQUARE SINGAPORE 039594
Millenia   Walk    Singapore ,1.292079954,103.8599724,"9 RAFFLES BOULEVARD ROY LICHTENSTEIN SCULPTURE PLAZA,THE (MILLENIA WALK) SINGAPORE 039596"
Mustafa   Shopping   Centre    Singapore ,1.310012946,103.8555583,"145 Syed Alwi Rd, Singapore 207704"
Ngee   Ann   City    Singapore ,1.302424172,103.8346761,391 ORCHARD ROAD UOB NGEE ANN CITY SINGAPORE 238872
Orchard   Central    Singapore ,1.300723504,103.8396924,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896
Orchard   Gateway    Singapore ,1.300443253,103.8394428,277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858
Orchard   Plaza    Singapore ,1.305025626,103.8329575,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL SINGAPORE 238865
Midpoint   Orchard    Singapore ,1.301773133,103.8386597,220 ORCHARD ROAD HSBC MIDPOINT ORCHARD SINGAPORE 238852
Orchard   Shopping   Centre    Singapore ,1.301484998,103.8378883,321 ORCHARD ROAD ORCHARD SHOPPING CENTRE SINGAPORE 238866
Palais   Renaissance    Singapore ,1.306654845,103.829588,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871
People's   Park   Centre    Singapore ,1.285805835,103.8440322,101 UPPER CROSS STREET OCBC PEOPLE'S PARK CENTRE SINGAPORE 058357
People's   Park   Complex    Singapore ,1.284128627,103.8425848,1 PARK ROAD OCBC PEOPLE'S PARK COMPLEX SINGAPORE 059108
Plaza   Singapura    Singapore ,1.30083413,103.8450727,68 ORCHARD ROAD STANDARD CHARTERED BANK PLAZA SINGAPURA SINGAPORE 238839
GR.ID Singapore,1.300253893,103.8492158,"1 Selegie Rd, Singapore 188306"
Raffles   City    Singapore ,1.294083047,103.8533395,250 NORTH BRIDGE ROAD OCBC RAFFLES CITY SHOPPING CENTRE SINGAPORE 179101
Scotts   Square    Singapore ,1.305855826,103.8329844,6 SCOTTS ROAD DBS NTUC SCOTTS SQUARE SINGAPORE 228209
Serangoon   Plaza    Singapore ,1.310780752,103.8551468,320 SERANGOON ROAD SERANGOON PLAZA SINGAPORE 218108
Shaw   House    Singapore ,1.293694385,103.7732836,11 KENT RIDGE DRIVE NATIONAL UNIVERSITY OF SINGAPORE (SHAW FOUNDATION ALUMNI HOUSE) SINGAPORE 119244
Sim   Lim   Square    Singapore ,1.303022984,103.8530387,1 ROCHOR CANAL ROAD UOB SIM LIM SQUARE SINGAPORE 188504
Singapore   Shopping   Centre    Singapore ,1.298132148,103.8441384,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924
The   South   Beach    Singapore ,1.294988044,103.8562762,38 BEACH ROAD THE SOUTH BEACH SINGAPORE 189767
Square 2    Singapore ,1.320429671,103.8438921,250 SINARAN DRIVE DBS NTUC SQUARE 2 SINGAPORE 307506
Sunshine   Plaza    Singapore ,1.300369965,103.8510688,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652
Suntec   City    Singapore ,1.294859902,103.8603337,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983
Tanglin   Mall    Singapore ,1.304853421,103.8238835,163 TANGLIN ROAD UOB TANGLIN MALL SINGAPORE 247933
Tangs    Singapore ,1.304950056,103.8329711,320 ORCHARD ROAD DBS TANGS ORCHARD SINGAPORE 238865
Tanjong   Pagar   Centre    Singapore ,1.276609528,103.8461808,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883
Tekka   Centre    Singapore ,1.306710983,103.8501344,661 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210661
The   Paragon    Singapore ,1.30375856,103.8352403,290 ORCHARD ROAD UOB THE PARAGON SINGAPORE 238859
Tiong   Bahru   Plaza    Singapore ,1.286331772,103.8275508,302 TIONG BAHRU ROAD DBS POSB TIONG BAHRU PLAZA SINGAPORE 168732
The   Poiz    Singapore ,1.331355508,103.8681501,51 UPPER SERANGOON ROAD OCBC THE POIZ CENTRE - FAIRPRICE SINGAPORE 347697
Thomson   Plaza    Singapore ,1.354325242,103.8303281,4J MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576394
United   Square    Singapore ,1.31724363,103.8440031,101 THOMSON ROAD UOB UNITED SQUARE SINGAPORE 307591
Velocity @    Novena   Square    Singapore ,1.319295425,103.8441914,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685
Wheelock   Place    Singapore ,1.30453636,103.8307142,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880
Wisma   Atria    Singapore ,1.303698907,103.8331896,435 ORCHARD ROAD OCBC WISMA ATRIA SINGAPORE 238877
White   Sands    Singapore ,1.372287616,103.9497339,1 PASIR RIS CENTRAL STREET 3 DBS NTUC WHITE SANDS SINGAPORE 518457
Downtown   East    Singapore ,1.377140741,103.9535991,1 PASIR RIS CLOSE UOB E!HUB DOWNTOWN EAST SINGAPORE 519599
Century   Square    Singapore ,1.35227804,103.9437277,2 TAMPINES CENTRAL 5 FILMGARDE AT CENTURY SQUARE SINGAPORE 529509
Tampines 1    Singapore ,1.355150411,103.9430099,15 TAMPINES CENTRAL 1 TAMPINES MRT STATION SINGAPORE 529544
Tampines   Mall    Singapore ,1.352672322,103.944388,4 TAMPINES CENTRAL 5 UOB TAMPINES MALL SINGAPORE 529510
Our   Tampines   Hub    Singapore ,1.352180469,103.940598,1 TAMPINES WALK DBS OUR TAMPINES HUB SINGAPORE 528523
Changi   Airport    Singapore ,1.362171507,103.9900524,80 AIRPORT BOULEVARD SINGAPORE CHANGI AIRPORT SINGAPORE 819642
Changi   City   Point    Singapore ,1.334149835,103.9629818,5 CHANGI BUSINESS PARK CENTRAL 1 DBS NTUC CHANGI CITY POINT SINGAPORE 486038
Djitsun   Mall   Bedok    Singapore ,1.326053199,103.9296046,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661
Eastpoint   Mall    Singapore ,1.342586441,103.9530723,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833
Bedok   Mall    Singapore ,1.324772074,103.9292677,311 NEW UPPER CHANGI ROAD UOB BEDOK MALL SINGAPORE 467360
Bedok   Point    Singapore ,1.324801026,103.932384,799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351
Paya   Lebar   Square    Singapore ,1.31881487,103.8925808,60 PAYA LEBAR ROAD UOB PAYA LEBAR SQUARE SINGAPORE 409051
Singpost   Centre    Singapore ,1.284294503,103.8506191,63 MARKET STREET BANK OF SINGAPORE CENTRE SINGAPORE 048942
Paya   Lebar   Quarter    Singapore ,1.317523846,103.8927244,10 PAYA LEBAR ROAD SHAW THEATRES PAYA LEBAR QUARTER SINGAPORE 409057
KINEX Singapore,1.314692135,103.8944805,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157
Katong   Shopping   Centre    Singapore ,1.303798132,103.9011617,865 MOUNTBATTEN ROAD UOB KATONG SHOPPING CENTRE SINGAPORE 437844
Roxy   Square    Singapore ,1.304333084,103.9040603,50 EAST COAST ROAD ROXY SQUARE SINGAPORE 428769
i12 Katong Singapore,1.305223062,103.9050439,112 EAST COAST ROAD UOB I12 KATONG AUTOLOBBY SINGAPORE 428802
Parkway   Parade    Singapore ,1.30106068,103.9053395,80 MARINE PARADE ROAD DBS DBS TREASURES AT PARKWAY PARADE SINGAPORE 449269
City   Plaza    Singapore ,1.314957297,103.8934003,810 GEYLANG ROAD OCBC CITY PLAZA SINGAPORE 409286
Katong   Square    Singapore ,1.304853371,103.9045742,88 EAST COAST ROAD KATONG SQUARE SINGAPORE 423371
Katong   Singapore ,1.304601478,103.9046996,88 EAST COAST ROAD HOLIDAY INN EXPRESS SINGAPORE KATONG SINGAPORE 423371
Kallang   Wave   Mall    Singapore ,1.303843272,103.8727507,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628
Leisure   Park   Kallang    Singapore ,1.302404625,103.8766381,5 STADIUM WALK FILMGARDE AT LEISURE PARK KALLANG SINGAPORE 397693
East   Village    Singapore ,1.331775815,103.9462012,432 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487049
Elias   Mall    Singapore ,1.378570261,103.9419891,625 ELIAS ROAD ELIAS MALL SINGAPORE 510625
Loyang   Point    Singapore ,1.36645364,103.9645985,259 PASIR RIS STREET 21 OCBC LOYANG POINT SINGAPORE 510259
The   Flow    Singapore ,1.30455858,103.9042117,66 EAST COAST ROAD THE FLOW MALL SINGAPORE 428778
Jewel   Changi   Airport    Singapore ,1.360062894,103.9899892,78 AIRPORT BOULEVARD HSBC JEWEL CHANGI AIRPORT SINGAPORE 819666
888 Plaza Singapore,1.437118561,103.7953161,888 WOODLANDS DRIVE 50 UOB WOODLANDS 888 PLAZA SINGAPORE 730888
Admiralty   Place    Singapore ,1.440415299,103.8014895,678A WOODLANDS AVENUE 6 OCBC ADMIRALTY PLACE SINGAPORE 731678
AMKHub    Singapore ,1.369255114,103.8484641,53 ANG MO KIO AVENUE 3 OCBC AMK HUB SINGAPORE 569933
Canberra   Plaza    Singapore ,1.443245232,103.8305235,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133
Causeway   Point    Singapore ,1.436007845,103.7856887,1 WOODLANDS SQUARE CATHAY CINEPLEX CAUSEWAY POINT SINGAPORE 738099
Woodlands   Civic   Centre    Singapore ,1.435150244,103.7868161,900 SOUTH WOODLANDS DRIVE DBS NTUC WOODLANDS CIVIC CENTRE SINGAPORE 730900
Broadway   Plaza    Singapore ,1.371936464,103.8459738,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841
Djitsun   Mall    Singapore ,1.326053199,103.9296046,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661
Jubilee   Square    Singapore ,1.371997458,103.8476698,"61 Ang Mo Kio Ave 8, Singapore 569814"
Junction 9    Singapore ,1.350182003,103.8485157,9 BISHAN PLACE CITIBANK BISHAN JUNCTION 8 SINGAPORE 579837
Marsiling   Mall    Singapore ,1.433512535,103.7797469,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623
Northpoint   City    Singapore ,1.42790289,103.8361777,920 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769100
Sembawang   Shopping   Centre    Singapore ,1.441767152,103.8244951,604 SEMBAWANG ROAD UOB SEMBAWANG SHOPPING CENTRE SINGAPORE 758459
Sun   Plaza    Singapore ,1.448200366,103.8195301,30 SEMBAWANG DRIVE DBS NTUC SUN PLAZA SINGAPORE 757713
Vista   Point    Singapore ,1.430840068,103.7934163,548 WOODLANDS DRIVE 44 UOB VISTA POINT SINGAPORE 730548
Wisteria   Mall    Singapore ,1.417999263,103.8412365,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698
Woodlands   Mart    Singapore ,1.44564787,103.7981623,768 WOODLANDS AVENUE 6 UOB WOODLANDS MART SINGAPORE 730768
Woodlands   North   Plaza    Singapore ,1.442852222,103.7909133,883 WOODLANDS STREET 82 UOB WOODLANDS NORTH PLAZA SINGAPORE 730883
Waterway   Point    Singapore ,1.406536117,103.9019882,83 PUNGGOL CENTRAL SHAW THEATRES WATERWAY POINT SINGAPORE 828761
Compass   One    Singapore ,1.392094156,103.89498,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078
Hougang   Mall    Singapore ,1.372483087,103.8937881,90 HOUGANG AVENUE 10 DBS NTUC HOUGANG MALL SINGAPORE 538766
Heartland   Mall    Singapore ,1.359544509,103.8851691,205 HOUGANG STREET 21 UOB HEARTLAND MALL SINGAPORE 530205
NEX Singapore,1.333823987,103.7863472,953 BUKIT TIMAH ROAD THE NEXUS SINGAPORE 589651
Greenwich   Singapore ,1.389402698,103.8694519,43 FERNVALE LANE PARC GREENWICH SINGAPORE 797356
Hougang 1    Singapore ,1.375609857,103.8794075,1 HOUGANG STREET 91 UOB HOUGANG 1 SINGAPORE 538692
Hougang   Green   Shopping   Mall    Singapore ,1.379317835,103.8878471,21 HOUGANG STREET 51 DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL SINGAPORE 538719
myVillage Singapore,1.365160713,103.8650419,1 MAJU AVENUE MYVILLAGE AT SERANGOON GARDEN SINGAPORE 556679
Oasis   Terraces    Singapore ,1.402634601,103.9132706,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681
Punggol   Plaza    Singapore ,1.394174473,103.91312,168 PUNGGOL FIELD DBS NTUC PUNGGOL PLAZA SINGAPORE 820168
Rivervale   Mall    Singapore ,1.392217327,103.9044731,11 RIVERVALE CRESCENT UOB RIVERVALE MALL SINGAPORE 545082
Rivervale   Plaza    Singapore ,1.385504208,103.9019884,118 RIVERVALE DRIVE DBS NTUC RIVERVALE PLAZA SINGAPORE 540118
The   Seletar   Mall    Singapore ,1.391501926,103.8761716,33 SENGKANG WEST AVENUE UOB THE SELETAR MALL SINGAPORE 797653
Buangkok   Square    Singapore ,1.38382673,103.8816725,992B BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 532992
The   Midtown    Singapore ,1.37047941,103.8951285,1187 UPPER SERANGOON ROAD THE MIDTOWN SINGAPORE 533971
Upper   Serangoon   Shopping   Centre    Singapore ,1.353480883,103.8788284,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626
Beauty   World   Centre    Singapore ,1.342412642,103.7765394,144 UPPER BUKIT TIMAH ROAD DBS BEAUTY WORLD CENTRE SINGAPORE 588177
Beauty   World   Plaza    Singapore ,1.341787998,103.7763041,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176
Bukit   Panjang   Plaza    Singapore ,1.380569054,103.7640336,1 JELEBU ROAD DBS NTUC BUKIT PANJANG PLAZA SINGAPORE 677743
Bukit   Timah   Plaza    Singapore ,1.338631653,103.7785854,1 JALAN ANAK BUKIT DBS NTUC BUKIT TIMAH PLAZA SINGAPORE 588996
Fajar   Shopping   Centre    Singapore ,1.38364777,103.7708866,445 FAJAR ROAD UOB FAJAR SHOPPING CENTRE SINGAPORE 670445
Greenridge   Shopping   Centre    Singapore ,1.385405693,103.7662285,524A JELAPANG ROAD UOB GREENRIDGE SHOPPING CENTRE SINGAPORE 671524
Hillion   Mall    Singapore ,1.378411651,103.7638295,17 PETIR ROAD DBS NTUC HILLION MALL SINGAPORE 678278
HillV2    Singapore ,1.363675773,103.764374,"4 Hillview Rise, Singapore 667979"
Junction 10    Singapore ,1.38018163,103.7604193,1 WOODLANDS ROAD DBS JUNCTION 10 SINGAPORE 677899
Limbang   Shopping   Centre    Singapore ,1.392073887,103.7430996,533 CHOA CHU KANG STREET 51 DBS NTUC LIMBANG SHOPPING CENTRE SINGAPORE 680533
Lot   One    Singapore ,1.385069923,103.7452389,21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE SINGAPORE 689812
Rail   Mall    Singapore ,1.359126992,103.7676758,428 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678054
Sunshine   Place    Singapore ,1.377897277,103.7390155,475 CHOA CHU KANG AVENUE 3 UOB SUNSHINE PLACE SINGAPORE 680475
Teck   Whye   Shopping   Centre    Singapore ,1.380047726,103.7524646,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137
West   Mall    Singapore ,1.350097148,103.7492139,1 BUKIT BATOK CENTRAL LINK CATHAY CINEPLEX WEST MALL SINGAPORE 658713
Yew   Tee   Point    Singapore ,1.397084324,103.746598,21 CHOA CHU KANG NORTH 6 DBS NTUC YEW TEE POINT SINGAPORE 689578
Yew   Tee   Shopping   Centre    Singapore ,1.397471043,103.7468888,"21 Choa Chu Kang North 6, Singapore 689578"
Yew   Tee   Square    Singapore ,1.398047361,103.7470848,624 CHOA CHU KANG STREET 62 UOB YEW TEE SQUARE SINGAPORE 680624
Keat   Hong   Shopping   Centre    Singapore ,1.377439635,103.7443832,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253
KKH  Mall    Singapore ,1.310863246,103.846842,"Level 1, KK Hospital, 100 Bukit Timah Rd, 229899"
Vivo   City    Singapore ,1.264270543,103.8224761,1 HARBOURFRONT WALK UOB VIVO CITY BRANCH SINGAPORE 098585
HarbourFront   Centre    Singapore ,1.264499792,103.8201668,"1 Maritime Square, Singapore 099253"
Alexandra   Retail   Centre    Singapore ,1.273842639,103.801375,460 ALEXANDRA ROAD DBS NTUC ALEXANDRA RETAIL CENTRE SINGAPORE 119963
321 Clementi Singapore,1.312024918,103.7649605,321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905
The   Clementi   Mall    Singapore ,1.315496754,103.7645702,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588
IMM Singapore,1.302050075,103.7937213,8A BIOMEDICAL GROVE IMMUNOS SINGAPORE 138648
JCube    Singapore ,1.333306338,103.7403024,2 JURONG EAST CENTRAL 1 SHAW THEATRES JCUBE SINGAPORE 609731
Jem    Singapore ,1.33255233,103.7432622,50 JURONG GATEWAY ROAD DBS NTUC JEM SINGAPORE 608549
Westgate    Singapore ,1.33415752,103.7427665,3 GATEWAY DRIVE UOB WESTGATE SINGAPORE 608532
Jurong   Point    Singapore ,1.339581968,103.7060064,63 JURONG WEST CENTRAL 3 STANDARD CHARTERED BANK JURONG POINT SINGAPORE 648331
Pioneer   Mall    Singapore ,1.34172919,103.6972237,638 JURONG WEST STREET 61 UOB PIONEER MALL SINGAPORE 640638
The   Star   Vista    Singapore ,1.306815007,103.7884627,1 VISTA EXCHANGE GREEN OCBC THE STAR VISTA SINGAPORE 138617
Alexandra   Central    Singapore ,1.287477077,103.8052534,321 ALEXANDRA ROAD ALEXANDRA CENTRAL SINGAPORE 159971
Anchorpoint    Singapore ,1.28861469,103.80501,370 ALEXANDRA ROAD UOB ANCHORPOINT SINGAPORE 159953
Big   Box    Singapore ,1.331832698,103.7448792,1 VENTURE AVENUE BIG BOX SINGAPORE 608521
Boon   Lay   Shopping   Centre    Singapore ,1.346373764,103.7124728,221 BOON LAY PLACE OCBC BOON LAY SHOPPING CENTRE SINGAPORE 640221
Grantral   Mall    Singapore ,1.333722109,103.8875308,601 MACPHERSON ROAD GRANTRAL MALL @ MACPHERSON SINGAPORE 368242
Fairprice   Hub    Singapore ,1.325617678,103.6784097,5 JOO KOON CIRCLE FAIRPRICE HUB SINGAPORE 629118
Gek   Poh   Shopping   Centre    Singapore ,1.348741647,103.6977396,762 JURONG WEST STREET 75 UOB GEK POH SHOPPING CENTRE SINGAPORE 640762
Rochester   Mall    Singapore ,1.305407656,103.7884467,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639
Taman   Jurong   Shopping   Centre    Singapore ,1.334844875,103.720462,399 YUNG SHENG ROAD DBS NTUC TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399
West   Coast   Plaza    Singapore ,1.303582681,103.7652845,154 WEST COAST ROAD UOB WEST COAST PLAZA SINGAPORE 127371
Queensway   Shopping   Centre    Singapore ,1.287617926,103.8033911,1 QUEENSWAY OCBC QUEENSWAY SHOPPING CENTRE SINGAPORE 149053
