address,postal_code,latitude,longitude,full_address
444 ANG MO KIO AVE 10,560444,1.366600453,103.8555788,444 ANG MO KIO AVENUE 10 SINGAPORE 560444
450 ANG MO KIO AVE 10,560450,1.368484062,103.8554681,450 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560450
435 ANG MO KIO AVE 10,560435,1.367703677,103.8542143,435 ANG MO KIO AVENUE 10 PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR BLK 435 (KN) SINGAPORE 560435
433 ANG MO KIO AVE 10,560433,1.368076523,103.854353,433 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560433
434 ANG MO KIO AVE 10,560434,1.367891507,103.853455,434 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560434
424 ANG MO KIO AVE 3,560424,1.368606603,103.8508088,424 ANG MO KIO AVENUE 3 CHONG BOON VIEW SINGAPORE 560424
425 ANG MO KIO AVE 3,560425,1.369122417,103.8516161,425 ANG MO KIO AVENUE 3 CHONG BOON VIEW SINGAPORE 560425
466 ANG MO KIO AVE 10,560466,1.365819605,103.8570616,466 ANG MO KIO AVENUE 10 PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 466 (KN) SINGAPORE 560466
471 ANG MO KIO AVE 10,560471,1.363466006,103.8567029,471 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560471
474 ANG MO KIO AVE 10,560474,1.362757847,103.8580153,474 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560474
570 ANG MO KIO AVE 3,560570,1.369743586,103.8560231,570 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560570
586 ANG MO KIO AVE 3,560586,1.37030353,103.8534559,586 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560586
455 ANG MO KIO AVE 10,,,,
465 ANG MO KIO AVE 10,560465,1.366201041,103.857201,465 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560465
463 ANG MO KIO AVE 10,560463,1.366947935,103.8574876,463 ANG MO KIO AVENUE 10 SINGAPORE 560463
564 ANG MO KIO AVE 3,560564,1.369848376,103.8594041,564 ANG MO KIO AVENUE 3 SINGAPORE 560564
560 ANG MO KIO AVE 10,560560,1.370816268,103.8591923,560 ANG MO KIO AVENUE 10 SINGAPORE 560560
558 ANG MO KIO AVE 10,560558,1.371236133,103.859192,558 ANG MO KIO AVENUE 10 SINGAPORE 560558
559 ANG MO KIO AVE 10,560559,1.370998107,103.8578564,559 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560559
538 ANG MO KIO AVE 5,560538,1.375593367,103.8533478,538 ANG MO KIO AVENUE 5 CHENG SAN VIEW SINGAPORE 560538
534 ANG MO KIO AVE 10,560534,1.374058463,103.8541682,534 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560534
601 ANG MO KIO AVE 5,560601,1.381041355,103.8351317,601 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560601
603 ANG MO KIO AVE 5,560603,1.38020079,103.8357557,603 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560603
604 ANG MO KIO AVE 5,560604,1.379866581,103.8359767,604 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560604
608 ANG MO KIO AVE 5,560608,1.3785821,103.8367603,608 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560608
611 ANG MO KIO AVE 5,560611,1.378292052,103.8372519,611 ANG MO KIO AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ YIO CHU KANG BLK 611 (KN) SINGAPORE 560611
505 ANG MO KIO AVE 8,560505,1.37485973,103.8502249,505 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560505
503 ANG MO KIO AVE 5,560503,1.375461631,103.848942,503 ANG MO KIO AVENUE 5 CHENG SAN CREST SINGAPORE 560503
610 ANG MO KIO AVE 4,560610,1.37939471,103.8391572,610 ANG MO KIO AVENUE 4 YIO CHU KANG GREEN SINGAPORE 560610
607 ANG MO KIO AVE 4,560607,1.380467587,103.8388167,607 ANG MO KIO AVENUE 4 YIO CHU KANG GREEN SINGAPORE 560607
524 ANG MO KIO AVE 5,560524,1.373374475,103.8530401,524 ANG MO KIO AVENUE 5 HUI MING CHILD DEVELOPMENT CENTRE SINGAPORE 560524
513 ANG MO KIO AVE 8,560513,1.372736969,103.8501949,513 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560513
643 ANG MO KIO AVE 5,560643,1.377488453,103.8406763,643 ANG MO KIO AVENUE 5 ANG MO KIO FAMILY SERVICE CENTRE SINGAPORE 560643
542 ANG MO KIO AVE 10,560542,1.374738413,103.8558768,542 ANG MO KIO AVENUE 10 CHENG SAN GREEN SINGAPORE 560542
548 ANG MO KIO AVE 10,560548,1.372913763,103.8570461,548 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560548
550 ANG MO KIO AVE 10,560550,1.373607695,103.8582049,550 ANG MO KIO AVENUE 10 SINGAPORE 560550
639 ANG MO KIO AVE 6,560639,1.379917052,103.8424584,639 ANG MO KIO AVENUE 6 YIO CHU KANG HEIGHTS SINGAPORE 560639
637 ANG MO KIO AVE 6,560637,1.380361872,103.8423346,637 ANG MO KIO AVENUE 6 YIO CHU KANG HEIGHTS SINGAPORE 560637
330 ANG MO KIO AVE 1,560330,1.362431864,103.8510307,330 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560330
333 ANG MO KIO AVE 1,560333,1.361342556,103.8516986,333 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560333
156 ANG MO KIO AVE 4,560156,1.375495196,103.8399475,156 ANG MO KIO AVENUE 4 YIO CHU KANG GROVE SINGAPORE 560156
152 ANG MO KIO AVE 5,560152,1.376687626,103.8401595,152 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560152
178 ANG MO KIO AVE 4,560178,1.376193199,103.8370382,178 ANG MO KIO AVENUE 4 KEBUN BARU LINK 2 SINGAPORE 560178
180 ANG MO KIO AVE 5,560180,1.376677064,103.838361,180 ANG MO KIO AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 180 (CC) SINGAPORE 560180
209 ANG MO KIO AVE 3,560209,1.368970789,103.8432845,209 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560209
231 ANG MO KIO AVE 3,560231,1.368561036,103.8375252,231 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560231
254 ANG MO KIO AVE 4,560254,1.37020344,103.8346877,254 ANG MO KIO AVENUE 4 KEBUN BARU VIEW SINGAPORE 560254
103 ANG MO KIO AVE 3,560103,1.371016578,103.8393048,103 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560103
105 ANG MO KIO AVE 4,560105,1.372313283,103.8376011,105 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560105
344 ANG MO KIO AVE 3,560344,1.367977051,103.8492648,344 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560344
324 ANG MO KIO AVE 3,560324,1.368333922,103.8468792,324 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560324
120 ANG MO KIO AVE 3,560120,1.370047397,103.8445948,120 ANG MO KIO AVENUE 3 SINGAPORE 560120
124 ANG MO KIO AVE 6,560124,1.370888391,103.8447645,124 ANG MO KIO AVENUE 6 JAMIYAH CHILD CARE CENTRE SINGAPORE 560124
414 ANG MO KIO AVE 10,560414,1.363904664,103.8539138,414 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560414
438 ANG MO KIO AVE 10,560438,1.366970817,103.8539066,438 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560438
427 ANG MO KIO AVE 3,560427,1.369311859,103.8545506,427 ANG MO KIO AVENUE 3 CHONG BOON HEIGHTS SINGAPORE 560427
428 ANG MO KIO AVE 3,560428,1.368939065,103.8544123,428 ANG MO KIO AVENUE 3 CHONG BOON HEIGHTS SINGAPORE 560428
473 ANG MO KIO AVE 10,560473,1.363053809,103.856846,473 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560473
573 ANG MO KIO AVE 3,560573,1.37056144,103.8548231,573 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560573
585 ANG MO KIO AVE 3,560585,1.370597561,103.852367,585 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560585
456 ANG MO KIO AVE 10,560456,1.36716072,103.8586585,456 ANG MO KIO AVENUE 10 TECK GHEE GRANDEUR SINGAPORE 560456
544 ANG MO KIO AVE 10,560544,1.373959619,103.8564714,544 ANG MO KIO AVENUE 10 CHENG SAN GREEN SINGAPORE 560544
640 ANG MO KIO AVE 6,560640,1.38003436,103.8436067,640 ANG MO KIO AVENUE 6 YIO CHU KANG HEIGHTS SINGAPORE 560640
638 ANG MO KIO AVE 6,560638,1.380457054,103.8435706,638 ANG MO KIO AVENUE 6 YIO CHU KANG HEIGHTS SINGAPORE 560638
646 ANG MO KIO AVE 6,560646,1.379395177,103.8437636,646 ANG MO KIO AVENUE 6 ANG MO KIO 61 SINGAPORE 560646
150 ANG MO KIO AVE 5,560150,1.376806785,103.842018,150 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560150
179 ANG MO KIO AVE 5,560179,1.376904181,103.8362181,179 ANG MO KIO AVENUE 5 KEBUN BARU LINK 2 SINGAPORE 560179
336 ANG MO KIO AVE 1,560336,1.363575651,103.8518712,336 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560336
335 ANG MO KIO AVE 1,560335,1.363209968,103.8506906,335 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560335
401 ANG MO KIO AVE 10,560401,1.361017656,103.8553876,401 ANG MO KIO AVENUE 10 SINGAPORE 560401
439 ANG MO KIO AVE 10,560439,1.366291979,103.8534963,439 ANG MO KIO AVENUE 10 SINGAPORE 560439
430 ANG MO KIO AVE 3,560430,1.368992878,103.8527613,430 ANG MO KIO AVENUE 3 CHONG BOON HEIGHTS SINGAPORE 560430
460 ANG MO KIO AVE 10,560460,1.366339477,103.8591223,460 ANG MO KIO AVENUE 10 TECK GHEE GRANDEUR SINGAPORE 560460
459 ANG MO KIO AVE 10,560459,1.367019645,103.8593772,459 ANG MO KIO AVENUE 10 TECK GHEE GRANDEUR SINGAPORE 560459
716 ANG MO KIO AVE 6,560716,1.371477831,103.8458688,716 ANG MO KIO AVENUE 6 SINGAPORE 560716
545 ANG MO KIO AVE 10,560545,1.373179219,103.8562945,545 ANG MO KIO AVENUE 10 CHENG SAN GREEN SINGAPORE 560545
620 ANG MO KIO AVE 9,560620,1.382440829,103.8395464,620 ANG MO KIO AVENUE 9 SINGAPORE 560620
622 ANG MO KIO AVE 9,560622,1.382064342,103.8397419,622 ANG MO KIO AVENUE 9 SINGAPORE 560622
259 ANG MO KIO AVE 2,560259,1.368581482,103.8315578,259 ANG MO KIO AVENUE 2 THE CLOVER @ KEBUN BARU SINGAPORE 560259
101 ANG MO KIO AVE 3,560101,1.370261584,103.8394679,101 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560101
620 BEDOK RESERVOIR RD,470620,1.33433432,103.9177126,620 BEDOK RESERVOIR ROAD PCF SPARKLETOTS PRESCHOOL @ EUNOS 620 (CC) SINGAPORE 470620
534 BEDOK NTH ST 3,460534,1.333042939,103.9247742,534 BEDOK NORTH STREET 3 MORAL STUDENT CARE CENTRE (BEDOK NORTH) SINGAPORE 460534
18 BEDOK STH RD,460018,1.320625049,103.9347342,18 BEDOK SOUTH ROAD SINGAPORE 460018
28 NEW UPP CHANGI RD,460028,1.323705317,103.9349928,28 NEW UPPER CHANGI ROAD T-NET CLUB @ BEDOK SINGAPORE 460028
29 NEW UPP CHANGI RD,464029,1.323958134,103.9363413,29 NEW UPPER CHANGI ROAD SINGAPORE 464029
30 NEW UPP CHANGI RD,461030,1.323526787,103.9364239,30 NEW UPPER CHANGI ROAD PCF SPARKLETOTS PRESCHOOL @ BEDOK BLK 30 (KN) SINGAPORE 461030
75 BEDOK NTH RD,460075,1.327914779,103.9421444,75 BEDOK NORTH ROAD SINGAPORE 460075
76 BEDOK NTH RD,460076,1.328306499,103.9420657,76 BEDOK NORTH ROAD PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 76 (CC) SINGAPORE 460076
501 BEDOK NTH ST 3,460501,1.331640712,103.9311677,501 BEDOK NORTH STREET 3 KAKI BUKIT VILLE SINGAPORE 460501
502 BEDOK NTH ST 3,460502,1.331245062,103.9312443,502 BEDOK NORTH STREET 3 KAKI BUKIT VILLE SINGAPORE 460502
503 BEDOK NTH ST 3,460503,1.331488468,103.9324654,503 BEDOK NORTH STREET 3 MY FIRST SKOOL SINGAPORE 460503
504 BEDOK NTH ST 3,460504,1.331880003,103.9323894,504 BEDOK NORTH STREET 3 KAKI BUKIT VILLE SINGAPORE 460504
2 BEDOK STH AVE 1,460002,1.321301188,103.9332996,2 BEDOK SOUTH AVENUE 1 SINGAPORE 460002
20 CHAI CHEE RD,461020,1.326272712,103.9228853,20 CHAI CHEE ROAD PING-AN GARDENS SINGAPORE 461020
21 CHAI CHEE RD,461021,1.325778506,103.9224247,21 CHAI CHEE ROAD PING-AN GARDENS SINGAPORE 461021
59 CHAI CHEE RD,460059,1.324889163,103.9202467,59 CHAI CHEE ROAD PING-AN GARDENS SINGAPORE 460059
58 CHAI CHEE DR,460058,1.325960771,103.9197331,58 CHAI CHEE DRIVE MINI WORLD CHILD CARE & DEVELOPMENT CENTRE PTE LTD SINGAPORE 460058
55 CHAI CHEE DR,460055,1.326848469,103.9190156,55 CHAI CHEE DRIVE PING-AN GARDENS SINGAPORE 460055
22 BEDOK STH AVE 1,460022,1.322831737,103.9328522,22 BEDOK SOUTH AVENUE 1 SINGAPORE 460022
105 BEDOK NTH AVE 4,460105,1.333722809,103.9365177,105 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460105
104 BEDOK NTH AVE 4,460104,1.333298521,103.9366015,104 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460104
107 BEDOK NTH RD,460107,1.332317407,103.9363013,107 BEDOK NORTH ROAD FENGSHAN ESTATE SINGAPORE 460107
110 BEDOK NTH RD,460110,1.332472064,103.9348605,110 BEDOK NORTH ROAD FENGSHAN ESTATE SINGAPORE 460110
69 BEDOK STH AVE 3,460069,1.319350264,103.9436324,69 BEDOK SOUTH AVENUE 3 SIGLAP LUCKY VALLEY SINGAPORE 460069
33 BEDOK STH AVE 2,460033,1.322841243,103.9391287,33 BEDOK SOUTH AVENUE 2 SATS STAFF HOME FOR SENIOR CITIZENS SINGAPORE 460033
46 BEDOK STH AVE 3,460046,1.322528611,103.9426664,46 BEDOK SOUTH AVENUE 3 SINGAPORE 460046
117 BEDOK NTH RD,460117,1.330654548,103.9384963,117 BEDOK NORTH ROAD SINGAPORE 460117
116 BEDOK NTH RD,460116,1.331008235,103.9380668,116 BEDOK NORTH ROAD SINGAPORE 460116
115 BEDOK NTH RD,460115,1.331433688,103.9368654,115 BEDOK NORTH ROAD PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 115 (CC) SINGAPORE 460115
125 BEDOK NTH RD,460125,1.328843215,103.9391237,125 BEDOK NORTH ROAD SINGAPORE 460125
124 BEDOK NTH RD,460124,1.329258819,103.9390464,124 BEDOK NORTH ROAD SINGAPORE 460124
128 BEDOK NTH ST 2,460128,1.327740236,103.9390057,128 BEDOK NORTH STREET 2 SINGAPORE 460128
129 BEDOK NTH ST 2,460129,1.327554432,103.9380305,129 BEDOK NORTH STREET 2 SINGAPORE 460129
138 BEDOK NTH ST 2,460138,1.330010112,103.9363435,138 BEDOK NORTH STREET 2 SINGAPORE 460138
87 BEDOK NTH ST 4,460087,1.332502614,103.9385871,87 BEDOK NORTH STREET 4 DBS BEDOK NORTH STREET 4 SINGAPORE 460087
100 BEDOK NTH AVE 4,460100,1.334355934,103.9390327,100 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460100
412 BEDOK NTH AVE 2,460412,1.329291261,103.9310907,412 BEDOK NORTH AVENUE 2 SINGAPORE 460412
402 BEDOK NTH AVE 3,460402,1.330554729,103.9336867,402 BEDOK NORTH AVENUE 3 RAINBOW VILLE SINGAPORE 460402
401 BEDOK NTH AVE 3,460401,1.330981735,103.9336046,401 BEDOK NORTH AVENUE 3 RAINBOW VILLE SINGAPORE 460401
425 BEDOK NTH RD,460425,1.329369602,103.9290675,425 BEDOK NORTH ROAD GARDEN HILL SINGAPORE 460425
416 BEDOK NTH AVE 2,460416,1.328399845,103.9306825,416 BEDOK NORTH AVENUE 2 UOB SDB CENTRE - BEDOK SINGAPORE 460416
418 BEDOK NTH AVE 2,460418,1.328564212,103.9300365,418 BEDOK NORTH AVENUE 2 GARDEN HILL SINGAPORE 460418
424 BEDOK NTH AVE 1,460424,1.32842001,103.9274827,424 BEDOK NORTH AVENUE 1 PCF SPARKLETOTS PRESCHOOL @ KAMPONG CHAI CHEE 424 (CC) SINGAPORE 460424
419 BEDOK NTH ST 1,460419,1.326979578,103.9281307,419 BEDOK NORTH STREET 1 ZION HOME FOR THE AGED (FEMALES) SINGAPORE 460419
136 BEDOK NTH AVE 3,460136,1.328154988,103.9352208,136 BEDOK NORTH AVENUE 3 SINGAPORE 460136
529 BEDOK NTH ST 3,460529,1.334269461,103.9265423,529 BEDOK NORTH STREET 3 SINGAPORE 460529
510 BEDOK NTH ST 3,460510,1.332336556,103.9304968,510 BEDOK NORTH STREET 3 UOB BEDOK NORTH STREET 3 SINGAPORE 460510
525 BEDOK NTH ST 3,460525,1.334703522,103.9290409,525 BEDOK NORTH STREET 3 PCF SPARKLETOTS PRESCHOOL @ KAKI BUKIT 525 (CC) SINGAPORE 460525
202 BEDOK NTH ST 1,460202,1.325656284,103.927991,202 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460202
218 BEDOK NTH ST 1,NIL,1.32752939,103.9344633,NIL
213 BEDOK NTH ST 1,460213,1.326333026,103.9326366,213 BEDOK NORTH STREET 1 UOB BEDOK NORTH STREET 1 SINGAPORE 460213
532 BEDOK NTH ST 3,460532,1.334191739,103.9253866,532 BEDOK NORTH STREET 3 SINGAPORE 460532
533 BEDOK NTH ST 3,460533,1.333580162,103.9242187,533 BEDOK NORTH STREET 3 SINGAPORE 460533
536 BEDOK NTH ST 3,460536,1.333541189,103.9231908,536 BEDOK NORTH STREET 3 SINGAPORE 460536
537 BEDOK NTH ST 3,460537,1.331711022,103.9239511,537 BEDOK NORTH STREET 3 STAMFORD SCHOLARS BEDOK 537 SINGAPORE 460537
44 CHAI CHEE ST,461044,1.329014301,103.9256678,44 CHAI CHEE STREET PING YI GARDENS SINGAPORE 461044
540 BEDOK NTH ST 3,460540,1.331129729,103.9220926,540 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460540
702 BEDOK RESERVOIR RD,470702,1.337236504,103.9189244,702 BEDOK RESERVOIR ROAD RESERVOIR RISE SINGAPORE 470702
615 BEDOK RESERVOIR RD,470615,1.332249812,103.9158687,615 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470615
712 BEDOK RESERVOIR RD,470712,1.335907292,103.922634,712 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470712
50 CHAI CHEE ST,461050,1.329304314,103.9224158,50 CHAI CHEE STREET CHAI CHEE GARDENS SINGAPORE 461050
54 CHAI CHEE ST,460054,1.329478409,103.9211051,54 CHAI CHEE STREET CHAI CHEE GARDENS SINGAPORE 460054
606 BEDOK RESERVOIR RD,470606,1.331222286,103.9137999,606 BEDOK RESERVOIR ROAD KIDZ VENTURES CHILD CARE SINGAPORE 470606
616 BEDOK RESERVOIR RD,470616,1.331828942,103.9149928,616 BEDOK RESERVOIR ROAD PCF SPARKLETOTS PRESCHOOL @ EUNOS BLK 616 (KN) SINGAPORE 470616
15 BEDOK STH RD,460015,1.320982226,103.9359566,15 BEDOK SOUTH ROAD BEDOK NEIGHBOURHOOD POLICE POST SINGAPORE 460015
34 BEDOK STH AVE 2,460034,1.322056529,103.9383547,34 BEDOK SOUTH AVENUE 2 BEDOK SOUTH PARKVIEW SINGAPORE 460034
36 BEDOK STH AVE 2,460036,1.321632997,103.9384413,36 BEDOK SOUTH AVENUE 2 BEDOK SOUTH PARKVIEW SINGAPORE 460036
35 BEDOK STH AVE 2,460035,1.322332207,103.9397662,35 BEDOK SOUTH AVENUE 2 BEDOK SOUTH PARKVIEW SINGAPORE 460035
41 BEDOK STH RD,460041,1.321050718,103.9408032,41 BEDOK SOUTH ROAD BEDOK SOUTH PARKVIEW SINGAPORE 460041
42 BEDOK STH RD,460042,1.321478478,103.940721,42 BEDOK SOUTH ROAD BEDOK SOUTH PARKVIEW SINGAPORE 460042
53 NEW UPP CHANGI RD,461053,1.324326841,103.94243,53 NEW UPPER CHANGI ROAD SINGAPORE 461053
51 NEW UPP CHANGI RD,461051,1.323435855,103.9422653,51 NEW UPPER CHANGI ROAD TANAH MERAH NEIGHBOURHOOD POLICE POST SINGAPORE 461051
8 BEDOK STH AVE 2,460008,1.32284177,103.9360468,8 BEDOK SOUTH AVENUE 2 SINGAPORE 460008
718 BEDOK RESERVOIR RD,470718,1.336633634,103.9257449,718 BEDOK RESERVOIR ROAD THE PRE-SCHOOLERS CHILDCARE & DEVELOPMENT CENTRE PTE LTD SINGAPORE 470718
724 BEDOK RESERVOIR RD,470724,1.33714404,103.9284338,724 BEDOK RESERVOIR ROAD RESERVOIR VIEW SINGAPORE 470724
166 BEDOK STH AVE 3,460166,1.320040799,103.9451967,166 BEDOK SOUTH AVENUE 3 SIGLAP EAST SINGAPORE 460166
71 BEDOK STH RD,460071,1.320416017,103.9427323,71 BEDOK SOUTH ROAD SIGLAP LUCKY VALLEY SINGAPORE 460071
82 BEDOK NTH RD,460082,1.329536805,103.9404066,82 BEDOK NORTH ROAD SINGAPORE 460082
78 BEDOK NTH RD,460078,1.327260072,103.9408488,78 BEDOK NORTH ROAD SINGAPORE 460078
79 BEDOK NTH RD,460079,1.327691945,103.9407637,79 BEDOK NORTH ROAD SINGAPORE 460079
80 BEDOK NTH RD,460080,1.32848132,103.9406116,80 BEDOK NORTH ROAD SINGAPORE 460080
134 BEDOK NTH ST 2,460134,1.328321333,103.9365822,134 BEDOK NORTH STREET 2 SINGAPORE 460134
126 BEDOK NTH ST 2,460126,1.328168309,103.9389179,126 BEDOK NORTH STREET 2 PCF SPARKLETOTS PRESCHOOL @ FENGSHAN BLK 126 (KN) SINGAPORE 460126
