"타임스탬프","Rank (1st: Most Important ;  5th: Least Important) [1st Choice]","Rank (1st: Most Important ;  5th: Least Important) [2nd Choice]","Rank (1st: Most Important ;  5th: Least Important) [3rd Choice]","Rank (1st: Most Important ;  5th: Least Important) [4th Choice]","Rank (1st: Most Important ;  5th: Least Important) [5th Choice]"
"2021/04/10 3:29:32 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Distance to Mall","Distance to Hawker Centre"
"2021/04/10 3:34:13 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Age of Flat","Distance to Hawker Centre","Distance to Mall"
"2021/04/10 3:35:13 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 3:49:32 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre","Age of Flat"
"2021/04/10 4:19:48 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 4:19:48 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre"
"2021/04/10 4:23:17 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 4:41:32 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Age of Flat","Distance to City Centre (Orchard)"
"2021/04/10 4:42:55 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall"
"2021/04/10 4:45:08 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 4:47:24 오후 GMT+8","Distance to Hawker Centre","Distance to Mall","Ease of Access to LRT/MRT Station","Age of Flat","Distance to City Centre (Orchard)"
"2021/04/10 4:47:43 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 5:03:19 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to City Centre (Orchard)","Distance to Mall","Age of Flat"
"2021/04/10 5:23:08 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall"
"2021/04/10 5:39:32 오후 GMT+8","Age of Flat","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall","Ease of Access to LRT/MRT Station"
"2021/04/10 5:41:21 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Age of Flat","Distance to City Centre (Orchard)","Distance to Mall"
"2021/04/10 5:42:10 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to City Centre (Orchard)","Distance to Mall","Distance to Hawker Centre"
"2021/04/10 5:44:10 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to City Centre (Orchard)","Distance to Mall","Distance to Hawker Centre"
"2021/04/10 6:13:28 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 6:14:57 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 6:46:05 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 6:58:49 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to City Centre (Orchard)","Age of Flat","Distance to Mall"
"2021/04/10 7:03:27 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre","Age of Flat"
"2021/04/10 7:17:19 오후 GMT+8","Age of Flat","Distance to Hawker Centre","Distance to Mall","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)"
"2021/04/10 7:54:19 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 8:28:33 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre"
"2021/04/10 9:07:45 오후 GMT+8","Distance to City Centre (Orchard)","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Age of Flat"
"2021/04/10 10:27:44 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Age of Flat","Distance to City Centre (Orchard)"
"2021/04/11 12:30:58 오전 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/11 10:16:19 오전 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Age of Flat","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/11 10:17:47 오전 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Age of Flat","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/11 2:47:18 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre","Age of Flat"
"2021/04/13 8:17:51 오전 GMT+8","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall","Age of Flat"
"2021/04/16 1:32:33 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
